id,author,sha,last_modified,created_at,private,gated,disabled,downloads,likes,library_name,tags,pipeline_tag,mask_token,card_data,widget_data,model_index,config,transformers_info,siblings,spaces,safetensors,lastModified,cardData,transformersInfo,_id,modelId
carlosabadia/hasbulla,carlosabadia,bcd04b63f2caf1e27e232fdeb86bb5aebef3fe02,2023-02-26 17:10:26+00:00,2022-12-31 19:23:18+00:00,False,False,,10,75,diffusers,"['diffusers', 'pytorch', 'stable-diffusion', 'text-to-image', 'diffusion-models-class', 'dreambooth-hackathon', 'wildcard', 'license:creativeml-openrail-m', 'endpoints_compatible', 'has_space', 'diffusers:StableDiffusionPipeline', 'region:us']",text-to-image,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='feature_extractor/preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model_index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='safety_checker/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='safety_checker/pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='scheduler/scheduler_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/merges.txt', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/tokenizer_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/vocab.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/diffusion_pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vae/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vae/diffusion_pytorch_model.bin', size=None, blob_id=None, lfs=None)]",,,2023-02-26 17:10:26+00:00,,,63b08c2661c6eafc31a523f3,carlosabadia/hasbulla
Apocalypse-19/Vishu-the-Cat,Apocalypse-19,a25c72318a87d57fd8e3ee8b485081e4b5355aa6,2023-04-11 12:46:21+00:00,2023-01-10 16:17:02+00:00,False,False,,16,72,diffusers,"['diffusers', 'safetensors', 'pytorch', 'text-to-image', 'dreambooth-hackathon', 'animal', 'license:creativeml-openrail-m', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",text-to-image,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='feature_extractor/preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model_index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='scheduler/scheduler_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/model.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/merges.txt', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/tokenizer_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/vocab.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/diffusion_pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/diffusion_pytorch_model.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vae/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vae/diffusion_pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vae/diffusion_pytorch_model.safetensors', size=None, blob_id=None, lfs=None)]",,,2023-04-11 12:46:21+00:00,,,63bd8f7ebb80ec4ef14a7763,Apocalypse-19/Vishu-the-Cat
ashiqabdulkhader/biriyani-food,ashiqabdulkhader,79319db1bbfed93b5c5f90dc4c2f245d46bfcdff,2023-01-27 12:44:20+00:00,2023-01-14 03:45:53+00:00,False,False,,19,63,diffusers,"['diffusers', 'pytorch', 'stable-diffusion', 'text-to-image', 'diffusion-models-class', 'dreambooth-hackathon', 'food', 'license:creativeml-openrail-m', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",text-to-image,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='feature_extractor/preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model_index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='safety_checker/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='safety_checker/pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='scheduler/scheduler_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/merges.txt', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/tokenizer_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/vocab.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/diffusion_pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vae/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vae/diffusion_pytorch_model.bin', size=None, blob_id=None, lfs=None)]",,,2023-01-27 12:44:20+00:00,,,63c225711b5c1a514dd5b43d,ashiqabdulkhader/biriyani-food
Ducco/Dahi-Puri,Ducco,8ab3152d6c54c54dab2f55e7bcaf67ec970f5c65,2023-01-27 12:26:58+00:00,2023-01-16 17:58:34+00:00,False,False,,7,59,diffusers,"['diffusers', 'pytorch', 'stable-diffusion', 'text-to-image', 'dreambooth-hackathon', 'food', 'license:creativeml-openrail-m', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",text-to-image,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='a photo of Modi eating ddahi puri food, high resolution, gs = 9, infsteps = 100.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='a photo of Trump with ddahi puri, gs = 9, infsteps = 100.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='a screenshot of ddahi puri in a videogame, gs = 11, infsteps = 100.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='ddahi puri on a pizza, gs = 9, infsteps = 100.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='ddahi puri with cherries, gs = 9, infsteps = 100.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='feature_extractor/preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model_index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='scheduler/scheduler_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/merges.txt', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/tokenizer_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/vocab.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/diffusion_pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vae/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vae/diffusion_pytorch_model.bin', size=None, blob_id=None, lfs=None)]",,,2023-01-27 12:26:58+00:00,,,63c5904ac4985c899292c75f,Ducco/Dahi-Puri
jefsnacker/azzy,jefsnacker,d4d5120bf3730eeefbb2466bd38673174bc9bd94,2023-01-07 01:50:13+00:00,2023-01-05 18:57:56+00:00,False,False,,10,51,diffusers,"['diffusers', 'pytorch', 'stable-diffusion', 'text-to-image', 'diffusion-models-class', 'dreambooth-hackathon', 'animal', 'license:creativeml-openrail-m', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",text-to-image,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='concept_images/azzy00.jpg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='concept_images/azzy01.jpeg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='concept_images/azzy02.jpeg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='concept_images/azzy03.jpg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='concept_images/azzy04.jpg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='concept_images/azzy05.jpg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='concept_images/azzy06.jpeg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='concept_images/azzy07.jpeg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='concept_images/azzy08.jpeg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='concept_images/azzy09.jpeg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='concept_images/azzy10.jpeg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='concept_images/azzy11.jpeg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='feature_extractor/preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model_index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='output_images/armored.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='output_images/cartoon.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='output_images/dapper.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='output_images/overwatch.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='output_images/software.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='output_images/spacesuit.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='output_images/swimming.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='output_images/tekken.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='output_images/tux.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='scheduler/scheduler_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='token_identifier.txt', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/merges.txt', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/tokenizer_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/vocab.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/diffusion_pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vae/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vae/diffusion_pytorch_model.bin', size=None, blob_id=None, lfs=None)]",,,2023-01-07 01:50:13+00:00,,,63b71db4ec5c995fdecf6fe6,jefsnacker/azzy
StatsGary/norweigen-fjords-fjords,StatsGary,c96149737874fafe32214788a63284c094c05048,2023-01-27 12:52:12+00:00,2023-01-05 20:07:09+00:00,False,False,,7,50,diffusers,"['diffusers', 'pytorch', 'stable-diffusion', 'text-to-image', 'diffusion-models-class', 'dreambooth-hackathon', 'landscape', 'license:creativeml-openrail-m', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",text-to-image,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='feature_extractor/preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model_index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='safety_checker/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='safety_checker/pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='scheduler/scheduler_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/merges.txt', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/tokenizer_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/vocab.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/diffusion_pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vae/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vae/diffusion_pytorch_model.bin', size=None, blob_id=None, lfs=None)]",,,2023-01-27 12:52:12+00:00,,,63b72dedec5c995fded0690f,StatsGary/norweigen-fjords-fjords
DeepFloyd/IF-I-M-v1.0,DeepFloyd,64dfba780d63640fda95964acba4f410e0420d5f,2023-06-02 19:04:48+00:00,2023-03-21 19:06:19+00:00,False,auto,,6201,47,diffusers,"['diffusers', 'pytorch', 'safetensors', 'if', 'text-to-image', 'arxiv:2205.11487', 'arxiv:2110.02861', 'license:deepfloyd-if-license', 'diffusers:IFPipeline', 'region:us']",text-to-image,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.yml', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='feature_extractor/preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model_index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pics/deepfloyd_if_scheme.jpg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pics/fid30k_if.jpg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pics/if_architecture.jpg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pics/loss.jpg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pics/lr.jpg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pics/scheme-h.jpg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='safety_checker/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='safety_checker/pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='scheduler/scheduler_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/model-00001-of-00002.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/model-00002-of-00002.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/model.8bit.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/model.fp16-00001-of-00002.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/model.fp16-00002-of-00002.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/model.safetensors.index.fp16.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/model.safetensors.index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/pytorch_model-00001-of-00002.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/pytorch_model-00002-of-00002.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/pytorch_model.8bit.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/pytorch_model.bin.index.fp16.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/pytorch_model.bin.index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/pytorch_model.fp16-00001-of-00002.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/pytorch_model.fp16-00002-of-00002.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/spiece.model', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='text_encoder/tokenizer_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/spiece.model', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer/tokenizer_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/diffusion_pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/diffusion_pytorch_model.fp16.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/diffusion_pytorch_model.fp16.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='unet/diffusion_pytorch_model.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='watermarker/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='watermarker/diffusion_pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='watermarker/diffusion_pytorch_model.safetensors', size=None, blob_id=None, lfs=None)]",,,2023-06-02 19:04:48+00:00,,,641a002be15dc827d9a8e285,DeepFloyd/IF-I-M-v1.0
JCTN/RMBG-1.4,JCTN,45b40c83f9a6f3373bc3df6d415933bef249198d,2024-02-09 20:24:49+00:00,2024-02-09 20:17:57+00:00,False,False,,0,4,,"['pytorch', 'onnx', 'remove background', 'background', 'background-removal', 'Pytorch', 'vision', 'legal liability', 'image-to-image', 'license:other', 'region:us']",image-to-image,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='briarmbg.py', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='example_inference.py', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='example_input.jpg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model.pth', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='onnx/model.onnx', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='onnx/model_quantized.onnx', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='onnx/onnx_quantize_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='requirements.txt', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='results.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='t4.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='utilities.py', size=None, blob_id=None, lfs=None)]",,,2024-02-09 20:24:49+00:00,,,65c6887510735dcd76f33bb1,JCTN/RMBG-1.4
huggingnft/cryptopunks__2__bored-apes-yacht-club,huggingnft,aa592734173938947c65191aca14a719332ab0dd,2022-04-25 16:05:53+00:00,2022-04-12 11:24:26+00:00,False,False,,0,3,,"['pytorch', 'huggan', 'gan', 'image-to-image', 'huggingnft', 'nft', 'image', 'images', 'arxiv:1703.10593', 'license:mit', 'has_space', 'region:us']",image-to-image,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None)]",,,2022-04-25 16:05:53+00:00,,,6255616ab93511848e68a81e,huggingnft/cryptopunks__2__bored-apes-yacht-club
caidas/swin2SR-compressed-sr-x4-48,caidas,498d29976954b61c5c84f0bbddb7464124e1166c,2023-01-21 12:07:12+00:00,2022-12-16 14:09:53+00:00,False,False,,732,3,transformers,"['transformers', 'pytorch', 'swin2sr', 'image-to-image', 'vision', 'arxiv:2209.11345', 'license:apache-2.0', 'has_space', 'region:us']",image-to-image,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None)]",,,2023-01-21 12:07:12+00:00,,,639c7c31a41c0ad6baf6c29b,caidas/swin2SR-compressed-sr-x4-48
