id,author,sha,last_modified,created_at,private,gated,disabled,downloads,likes,library_name,tags,pipeline_tag,mask_token,card_data,widget_data,model_index,config,transformers_info,siblings,spaces,safetensors,lastModified,cardData,transformersInfo,_id,modelId
OFA-Sys/chinese-clip-vit-base-patch16,OFA-Sys,36e679e65c2a2fead755ae21162091293ad37834,2022-12-09 06:10:13+00:00,2022-11-09 08:14:09+00:00,False,False,,20282,61,transformers,"['transformers', 'pytorch', 'chinese_clip', 'zero-shot-image-classification', 'vision', 'arxiv:2211.01335', 'endpoints_compatible', 'region:us']",zero-shot-image-classification,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='clip_cn_vit-b-16.pt', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='festival.jpg', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vocab.txt', size=None, blob_id=None, lfs=None)]",,,2022-12-09 06:10:13+00:00,,,636b6151a3459fe6d069fde8,OFA-Sys/chinese-clip-vit-base-patch16
facebook/sam-vit-huge,facebook,87aecf0df4ce6b30cd7de76e87673c49644bdf67,2024-01-11 19:23:32+00:00,2023-04-10 13:51:24+00:00,False,False,,810886,95,transformers,"['transformers', 'pytorch', 'tf', 'safetensors', 'sam', 'mask-generation', 'vision', 'license:apache-2.0', 'endpoints_compatible', 'has_space', 'region:us']",mask-generation,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tf_model.h5', size=None, blob_id=None, lfs=None)]",,,2024-01-11 19:23:32+00:00,,,6434145c1a1ba6b55b1723c8,facebook/sam-vit-huge
facebook/sam-vit-base,facebook,70c1a07f894ebb5b307fd9eaaee97b9dfc16068f,2024-01-11 19:23:17+00:00,2023-04-19 14:15:29+00:00,False,False,,126323,82,transformers,"['transformers', 'pytorch', 'tf', 'safetensors', 'sam', 'mask-generation', 'vision', 'license:apache-2.0', 'endpoints_compatible', 'has_space', 'region:us']",mask-generation,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tf_model.h5', size=None, blob_id=None, lfs=None)]",,,2024-01-11 19:23:17+00:00,,,643ff7812113f7dfcb4ddffc,facebook/sam-vit-base
facebook/sam-vit-large,facebook,6851e0441005b0fb96f2cc4dfac472f3d1b14af1,2024-01-11 19:23:46+00:00,2023-04-19 14:17:03+00:00,False,False,,35307,20,transformers,"['transformers', 'pytorch', 'tf', 'safetensors', 'sam', 'mask-generation', 'vision', 'license:apache-2.0', 'endpoints_compatible', 'has_space', 'region:us']",mask-generation,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tf_model.h5', size=None, blob_id=None, lfs=None)]",,,2024-01-11 19:23:46+00:00,,,643ff7df2113f7dfcb4de904,facebook/sam-vit-large
wanglab/medsam-vit-base,wanglab,de8488bca37bb1d4fb190f612c516126d739ce3b,2023-05-03 07:03:04+00:00,2023-04-29 15:27:55+00:00,False,False,,2192,14,transformers,"['transformers', 'pytorch', 'sam', 'mask-generation', 'license:apache-2.0', 'endpoints_compatible', 'has_space', 'region:us']",mask-generation,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None)]",,,2023-05-03 07:03:04+00:00,,,644d377b328c1aa30e461131,wanglab/medsam-vit-base
flaviagiammarino/medsam-vit-base,flaviagiammarino,a3cb4c518fc3ae8beaf1af0cd3a43867cfa28335,2023-07-13 15:43:56+00:00,2023-07-11 07:37:57+00:00,False,False,,1525,5,transformers,"['transformers', 'pytorch', 'tf', 'sam', 'mask-generation', 'medical', 'vision', 'arxiv:2304.12306', 'license:apache-2.0', 'endpoints_compatible', 'has_space', 'region:us']",mask-generation,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='scripts/input.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='scripts/output.png', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='scripts/pt_example.py', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='scripts/pt_model.py', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='scripts/tf_example.py', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tf_model.h5', size=None, blob_id=None, lfs=None)]",,,2023-07-13 15:43:56+00:00,,,64ad06d57ac35b7de0593bcd,flaviagiammarino/medsam-vit-base
ayoubkirouane/Breast-Cancer_SAM_v1,ayoubkirouane,9e736f6d7dfd1652be89a1c7aa42e5552621ca23,2023-09-16 15:14:03+00:00,2023-09-16 13:11:44+00:00,False,False,,214,3,transformers,"['transformers', 'pytorch', 'sam', 'mask-generation', 'medical', 'segmentation', 'image-segmentation', 'en', 'dataset:nielsr/breast-cancer', 'license:apache-2.0', 'endpoints_compatible', 'has_space', 'region:us']",image-segmentation,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None)]",,,2023-09-16 15:14:03+00:00,,,6505a9909310ce8c400fcbdf,ayoubkirouane/Breast-Cancer_SAM_v1
nielsr/mobilesam,nielsr,9b28ec885ee6e1a2893c0f105d55c625b69ce0a9,2024-04-09 07:22:14+00:00,2024-01-29 15:47:52+00:00,False,False,,25,3,transformers,"['transformers', 'pytorch', 'safetensors', 'mask-generation', 'endpoints_compatible', 'region:us']",mask-generation,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None)]",,,2024-04-09 07:22:14+00:00,,,65b7c8a8e0bde92c1736323f,nielsr/mobilesam
aradootle/sam-vit-base,aradootle,73cb701838498ae23b131aaefe2de313de9e741e,2023-09-14 23:16:22+00:00,2023-09-14 22:20:21+00:00,False,False,,3,2,transformers,"['transformers', 'pytorch', 'sam', 'mask-generation', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",mask-generation,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='handler.py', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='models/tf_model.h5', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='requirements.txt', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='test_handler.py', size=None, blob_id=None, lfs=None)]",,,2023-09-14 23:16:22+00:00,,,6503872508de0f81bf56f501,aradootle/sam-vit-base
fxmarty/sam-vit-tiny-random,fxmarty,96a685daa603136baf75b975e0c854e199c07928,2023-04-20 12:42:14+00:00,2023-04-20 12:32:15+00:00,False,False,,6821,1,transformers,"['transformers', 'pytorch', 'sam', 'mask-generation', 'license:mit', 'endpoints_compatible', 'has_space', 'region:us']",mask-generation,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None)]",,,2023-04-20 12:42:14+00:00,,,644130cf006550f1ed6b3daa,fxmarty/sam-vit-tiny-random
